protocol, transport, type, dst_port, src_ip, src_port, timestamp
smbd, tcp, accept, 445, 62.74.213.178, 3395, 2022-05-07T15:09:43.063266,
smbd, tcp, accept, 445, 62.74.213.178, 3418, 2022-05-07T15:09:43.908898,
smbd, tcp, accept, 445, 62.74.213.178, 3450, 2022-05-07T15:09:44.694787,
smbd, tcp, accept, 445, 62.74.213.178, 3469, 2022-05-07T15:09:45.441406,
smbd, tcp, accept, 445, 62.74.213.178, 3515, 2022-05-07T15:09:46.873870,
smbd, tcp, accept, 445, 62.74.213.178, 3546, 2022-05-07T15:09:47.587137,
smbd, tcp, accept, 445, 62.74.213.178, 3567, 2022-05-07T15:09:48.347131,
smbd, tcp, accept, 445, 62.74.213.178, 3587, 2022-05-07T15:09:49.096462,
smbd, tcp, accept, 445, 62.74.213.178, 3688, 2022-05-07T15:09:51.215618,
smbd, tcp, accept, 445, 62.74.213.178, 3647, 2022-05-07T15:09:50.484520,
smbd, tcp, accept, 445, 62.74.213.178, 3748, 2022-05-07T15:09:52.706500,
smbd, tcp, accept, 445, 62.74.213.178, 3770, 2022-05-07T15:09:53.353606,
smbd, tcp, accept, 445, 62.74.213.178, 3814, 2022-05-07T15:09:54.073828,
smbd, tcp, accept, 445, 62.74.213.178, 3838, 2022-05-07T15:09:54.849639,
smbd, tcp, accept, 445, 62.74.213.178, 2437, 2022-05-07T15:09:20.822627,
smbd, tcp, accept, 445, 62.74.213.178, 2608, 2022-05-07T15:09:24.600297,
smbd, tcp, accept, 445, 62.74.213.178, 2738, 2022-05-07T15:09:28.017001,
smbd, tcp, accept, 445, 62.74.213.178, 2914, 2022-05-07T15:09:31.050790,
smbd, tcp, accept, 445, 62.74.213.178, 3051, 2022-05-07T15:09:34.601550,
smbd, tcp, accept, 445, 62.74.213.178, 3211, 2022-05-07T15:09:38.748547,
smbd, tcp, accept, 445, 62.74.213.178, 3374, 2022-05-07T15:09:42.310710,
smbd, tcp, accept, 445, 62.74.213.178, 3612, 2022-05-07T15:09:49.771470,
smbd, tcp, accept, 445, 62.74.213.178, 3724, 2022-05-07T15:09:51.849047,
smbd, tcp, accept, 445, 62.74.213.178, 3866, 2022-05-07T15:09:55.627114,
smbd, tcp, accept, 445, 62.74.213.178, 3891, 2022-05-07T15:09:56.407180,
smbd, tcp, accept, 445, 62.74.213.178, 3916, 2022-05-07T15:09:57.169063,
smbd, tcp, accept, 445, 62.74.213.178, 3942, 2022-05-07T15:09:57.920538,
smbd, tcp, accept, 445, 62.74.213.178, 3964, 2022-05-07T15:09:58.577834,
smbd, tcp, accept, 445, 62.74.213.178, 3497, 2022-05-07T15:09:46.091723,
smbd, tcp, accept, 445, 62.74.213.178, 4026, 2022-05-07T15:10:00.009876,
smbd, tcp, accept, 445, 62.74.213.178, 4059, 2022-05-07T15:10:00.764598,
smbd, tcp, accept, 445, 62.74.213.178, 4096, 2022-05-07T15:10:01.495825,
smbd, tcp, accept, 445, 62.74.213.178, 4145, 2022-05-07T15:10:02.859982,
